event_id,event_name,start_date,end_date,event_type,description,region,source
1,1973 Arab Oil Embargo,1973-10-19,1974-03-01,Geopolitical/OPEC,OAPEC embargo on US and allies during Yom Kippur War; oil prices quadrupled.,Middle East/Global,"U.S. Energy Information Administration (EIA) — Historical/market chronology of the 1973–74 oil embargo (EIA energy history materials); BP Statistical Review — historical oil price/market context"
2,1979 Iranian Revolution Oil Shock,1979-01-01,1980-12-31,Geopolitical/Economic,Iranian Revolution disrupted production causing global supply shortages and price spikes.,Middle East/Global,"EIA — country/market history on Iran and global supply disruptions (EIA energy history/country analysis); IEA — Oil Market Reports (historical coverage) on 1979–80 supply disruption"
3,Gulf War Oil Shock (Iraq-Kuwait),1990-08-02,1991-04-01,Geopolitical,Iraq invaded Kuwait leading to sharp oil price increases and supply risks.,Middle East/Global,"EIA — 'Iraq invades Kuwait' and 1990–91 Gulf War oil market impacts (EIA chronology/analysis); IEA — contemporaneous Oil Market Report summaries on 1990 supply loss"
4,Asian Financial Crisis Demand Collapse,1997-07-01,1998-12-31,Economic Shock,Regional recession reduced oil demand causing prices to fall sharply.,Asia/Global,"IMF — World Economic Outlook (1997–1999) on Asia crisis and global demand; World Bank — East Asia crisis reports and macro impacts relevant to energy demand"
5,OPEC Production Cuts Stabilization,1999-03-01,2000-03-31,OPEC Decision,Coordinated output cuts helped recover oil prices after late 1990s slump.,Global,"OPEC — Press releases / Monthly Oil Market Report (MOMR) (1999) documenting quota decisions; EIA — analysis of 1999 OPEC cuts and price recovery"
6,Global Financial Crisis Oil Crash,2008-09-01,2009-06-30,Economic Shock,Financial crisis reduced demand; oil dropped from record highs to below $40.,Global,"IMF — Global Financial Stability Report / WEO (2008–2009) on demand shock; EIA — 2008 oil price collapse analysis; IEA — Oil Market Report (2008–2009) demand revisions"
7,Arab Spring / Libya Civil War Supply Loss,2011-02-15,2011-10-31,Geopolitical,"Libyan exports halted, tightening supply and raising Brent prices.",North Africa/Global,"IEA — Oil Market Report (2011) detailing Libyan outage volumes; EIA — Libya supply disruption analysis (2011) and Brent market impact summaries"
8,US Shale Boom Oversupply,2014-06-01,2016-02-01,Market/Economic,Rapid US shale production growth caused oversupply and prolonged price decline.,North America/Global,"EIA — U.S. tight oil / crude production statistics and 2014–2016 market analysis; IEA — Oil Market Report (2014–2016) on non-OPEC supply growth"
9,OPEC+ Formation and Cuts Agreement,2016-11-30,2018-12-31,OPEC+ Decision,OPEC and Russia agreed to coordinated production cuts to rebalance market.,Global,"OPEC — official communications on 30 Nov 2016 agreement and subsequent conformity reports; IEA — Oil Market Report (2016–2018) on OPEC+ cuts and balances"
10,COVID-19 Pandemic Demand Collapse,2020-01-01,2020-12-31,Economic Shock,Lockdowns slashed travel and fuel demand; prices plunged and WTI briefly turned negative.,Global,"IEA — Oil Market Report (2020) and Global Energy Review (2020) on demand collapse; EIA — 2020 petroleum market and price impact analysis"
11,Russia–Saudi Price War,2020-03-06,2020-04-12,OPEC+ Dispute,Breakdown of talks led to production surge and severe price crash.,Global,"OPEC — meeting outcomes/communications (March–April 2020); IEA — Oil Market Report (Mar–Apr 2020) describing supply surge and price impacts; EIA — contemporaneous market commentary"
12,OPEC+ Historic Production Cuts (Pandemic Response),2020-04-12,2021-04-30,OPEC+ Decision,Record coordinated cuts to stabilize collapsing prices.,Global,"OPEC — official statement on 12 April 2020 Declaration of Cooperation adjustments; IEA — Oil Market Report (2020–2021) tracking cuts and market rebalancing"
13,Russia–Ukraine War Energy Shock,2022-02-24,2023-12-31,Geopolitical,Sanctions and supply disruptions raised volatility and energy security concerns.,Europe/Global,"IEA — Russia’s invasion of Ukraine: energy security analysis and monthly market updates; EIA — analysis of sanctions, trade flows, and global price impacts (2022–2023)"
14,OPEC+ Voluntary Output Cuts,2023-04-02,2024-12-31,OPEC+ Decision,Additional voluntary cuts aimed at supporting prices amid weak demand outlook.,Global,"OPEC — press releases on voluntary adjustments (April 2023 onward) and MOMR references; IEA — Oil Market Report updates describing OPEC+ supply policy changes (2023–2024)"
15,Red Sea Shipping Disruptions,2023-12-01,,Geopolitical,Attacks on shipping routes increased freight costs and oil supply risk premiums.,Middle East/Global,"UNCTAD — Red Sea/Suez trade disruption updates (2023–2024); International Maritime Organization (IMO) security updates; market monitoring from IEA/EIA on freight and supply risk premia"
